API Well Number,Leak [Yes/No],Violation [Yes/No],Incident [Yes/No],Compliance [Yes/No],Oil [bbl/Year],Gas [Mcf/Year],Age [Years],Depth [ft],Elevation Delta [m],Distance to Road [miles],Operator Name,Latitude,Longitude,Well Type,Priority Score [0-100],Emissions Score [0-35],Leak,Leak [Yes/No] Score,Compliance,Compliance [Yes/No] Score,Violation,Violation [Yes/No] Score,Incident,Incident [Yes/No] Score,Sensitive Receptors Score [0-20],Schools Within Distance,School Score [0-10],Hospitals Within Distance,Hospital Score [0-10],Production Volumes Score [0-20],One-year Production [BOE],One-year Production Score [0-20],Well Age Score [0-15],Owner Well-Count,Owner Well-Count Score [0-10],cluster,Well ID
49439,No,Yes,Yes,No,9.1,53.36,126,1781,-109,0.1662576045,Owner 19,1.8872309999999999,3.323211999999998,Gas,78.36071164895198,21.0,0,0.0,1,100.0,1,100.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.65701646007374,18.60382245662768,19.65701646007374,12.583892617449665,2,9.048374,Cluster 2,49439
84290,Yes,No,Yes,No,40.15,992.33,84,2261,8,0.0391368596,Owner 2,1.9381899999999987,3.329809999999995,Gas,75.83666254414295,28.0,1,100.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,16.001347274727802,216.89153182881083,16.001347274727802,8.355704697986576,4,7.408182,Cluster 2,84290
86095,Yes,No,Yes,No,0.0,69.31,19,2604,94,0.437404274,Owner 65,1.083289999999998,1.956000000000003,Gas,72.35912104268027,28.0,1,100.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.772411934338965,12.3446389518153,19.772411934338965,1.8120805369127517,5,6.7032,Cluster 14,86095
58584,No,No,Yes,No,0.0,18.97,121,12639,-105,0.4699533104,Owner 236,1.889446999999997,3.3423990000000003,Gas,70.27698311330172,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.937709629121485,3.378701499292111,19.937709629121485,12.080536912751677,3,8.187308,Cluster 2,58584
21580,No,Yes,Yes,No,0.0,5.34,135,5192,1,0.425676116,Owner 224,1.8591100000000012,1.3289099999999934,Gas,70.03711689853169,21.0,0,0.0,1,100.0,1,100.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.982465441197085,0.9510946761317804,19.982465441197085,13.48993288590604,9,4.49329,Cluster 25,21580
10241,No,Yes,No,No,8.05,226.63,104,1794,16,0.1280630606,Owner 188,1.059199999999997,2.2323200000000014,Gas,69.7511767980514,17.5,0,0.0,1,100.0,1,100.0,0,0.0,16.07142857142857,6,8.571428571428571,3,7.5,19.107420709844323,48.41452929807966,19.107420709844323,10.369127516778523,5,6.7032,Cluster 18,10241
26239,No,No,Yes,No,0.0,16.25,106,12852,205,0.1098374395,Owner 111,1.884399000000002,3.3491559999999936,Gas,68.77584745987143,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.946641089785142,2.894248780363564,19.946641089785142,10.570469798657719,3,8.187308,Cluster 2,26239
21486,No,No,Yes,No,1.87,42.46,124,10416,-8,0.5720414553,Owner 58,1.8779770000000013,3.350133999999997,Gas,67.76819651043414,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.82610160343509,9.432449428568427,19.82610160343509,12.38255033557047,7,5.488116,Cluster 2,21486
46413,No,No,No,No,11.51,93.54,142,111,0,0.6104549321,Owner 51,1.0730900000000005,1.8156649999999956,Gas,67.65489063228135,10.5,0,0.0,1,100.0,0,0.0,0,0.0,16.07142857142857,6,8.571428571428571,3,7.5,19.480649188369558,28.170186517858944,19.480649188369558,14.194630872483222,4,7.408182,Cluster 8,46413
35551,No,No,No,No,3.16,105.92,145,6845,0,0.7710471219,Owner 151,1.910969999999999,3.36609,Gas,67.36521293163145,10.5,0,0.0,1,100.0,0,0.0,0,0.0,16.07142857142857,6,8.571428571428571,3,7.5,19.59394006490087,22.025158819452844,19.59394006490087,14.496644295302014,5,6.7032,Cluster 2,35551
50038,No,Yes,Yes,No,0.0,0.24,83,5892,-5,0.0325227001,Owner 117,1.0797230000000013,1.8258600000000058,Gas,67.02887405841699,21.0,0,0.0,1,100.0,1,100.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.999211929941442,0.04274582814075418,19.999211929941442,8.25503355704698,5,6.7032,Cluster 8,50038
19690,No,No,Yes,No,0.0,722.42,138,10087,6,0.3269192651,Owner 4,1.9271299999999982,1.412869999999998,Gas,66.97933433138924,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,17.62784345123584,128.66850485601512,17.62784345123584,13.791946308724832,7,5.488116,Cluster 3,19690
73984,No,No,Yes,No,5.7,87.46,122,3796,-6,0.5364991927,Owner 142,1.835447000000002,3.312197999999995,Gas,66.82621749838265,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.607727873262807,21.277292204959835,19.607727873262807,12.181208053691275,8,4.965853,Cluster 2,73984
24875,No,Yes,Yes,No,0.0,85.23,60,10155,-97,0.4938614308,Owner 173,1.053167000000002,2.1464600000000047,Gas,66.77953650731943,21.0,0,0.0,1,100.0,1,100.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.720136620454625,15.180112218485329,19.720136620454625,5.939597315436242,2,9.048374,Cluster 9,24875
97876,No,No,Yes,No,0.0,339.21,111,10459,-88,0.6112849052,Owner 183,1.89996,3.332170000000005,Gas,66.73461555577,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,18.886161480985727,60.41588484843843,18.886161480985727,11.073825503355705,5,6.7032,Cluster 2,97876
84951,No,No,Yes,No,0.0,500.33,148,7900,129,0.0482869632,Owner 240,1.0758399999999995,2.242779999999996,Gas,66.41449807122324,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,18.357103781673857,89.11258414026474,18.357103781673857,14.798657718120806,3,8.187308,Cluster 18,84951
92936,No,No,No,No,0.0,928.39,129,11015,0,0.0617728084,Owner 206,1.6543369999999982,2.240319999999997,Gas,66.31703177142798,10.5,0,0.0,1,100.0,0,0.0,0,0.0,18.57142857142857,6,8.571428571428571,4,10.0,16.95151515973096,165.35333078164487,16.95151515973096,12.885906040268456,4,7.408182,Cluster 49,92936
53255,No,No,Yes,No,6.03,337.82,106,10728,167,0.1554747957,Owner 101,1.8601740000000007,3.353443999999996,Gas,66.12465388572726,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,18.779555515640972,66.19831526045657,18.779555515640972,10.570469798657719,5,6.7032,Cluster 2,53255
99710,No,No,Yes,No,7.91,640.53,100,3519,185,0.2184470676,Owner 241,1.9247640000000033,3.294951999999995,Gas,65.97608881191131,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,17.750909287462605,121.9932720791553,17.750909287462605,9.966442953020135,3,8.187308,Cluster 2,99710
91117,No,No,Yes,No,7.3,50.94,143,3221,90,0.7145099608,Owner 196,1.5193099999999973,1.9567399999999964,Gas,65.76807855366751,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.698147968816112,16.372802022875074,19.698147968816112,14.295302013422818,5,6.7032,Cluster 21,91117
54792,No,No,Yes,No,36.7,319.92,148,6439,1,0.7538702029,Owner 61,1.0765299999999982,2.2465600000000023,Gas,65.55116285792217,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,18.27289456837279,93.68018891162532,18.27289456837279,14.798657718120806,4,7.408182,Cluster 18,54792
57844,No,No,Yes,No,0.0,9.32,150,1140,-185,0.6002905302,Owner 66,1.0800600000000031,2.232910000000004,Gas,65.52894118415458,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.969396612726,1.6599629927992874,19.969396612726,15.0,7,5.488116,Cluster 18,57844
33590,No,No,No,No,0.0,685.07,138,3149,-3,0.2515273055,Owner 77,1.6818799999999996,1.7633900000000011,Gas,65.5220437342523,10.5,0,0.0,1,100.0,0,0.0,0,0.0,16.07142857142857,6,8.571428571428571,3,7.5,17.750486854098913,122.01618535161028,17.750486854098913,13.791946308724832,4,7.408182,Cluster 36,33590
37637,No,Yes,No,No,0.0,87.72,90,6487,4,0.6216570284,Owner 59,1.0610100000000031,2.2409200000000027,Gas,65.43042850864981,17.5,0,0.0,1,100.0,1,100.0,0,0.0,11.071428571428571,6,8.571428571428571,1,2.5,19.71196039359709,15.623600185445651,19.71196039359709,8.95973154362416,3,8.187308,Cluster 18,37637
52884,No,No,Yes,No,1.63,89.55,122,4595,-5,0.1201230274,Owner 115,1.0784499999999966,2.182862,Gas,65.11584500056898,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.675900375449128,17.579537125018902,19.675900375449128,12.181208053691275,3,8.187308,Cluster 9,52884
62199,No,No,Yes,No,7.08,155.2,125,8108,4,0.7036205897,Owner 246,1.0548709999999986,2.184178000000003,Gas,65.10181120984033,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.359853161901704,34.722302197687696,19.359853161901704,12.483221476510067,3,8.187308,Cluster 9,62199
